A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
          0,          1,11, 0,          1,1,1,0
          1,          2,11, 0,          3,1,1,0
          2,          3,11, 0,          3,1,1,0
          3,          4,11, 0,          7,1,1,0
          4,          5,11, 0,          5,1,1,0
          5,          6,11, 0,          7,1,1,0
          6,          7,11, 0,          7,1,1,0
          7,          8,11, 0,         15,1,1,0
          8,          9,11, 0,          9,1,1,0
          9,         10,11, 0,         11,1,1,0
         10,         11,11, 0,         11,1,1,0
         11,         12,11, 0,         15,1,1,0
         12,         13,11, 0,         13,1,1,0
         13,         14,11, 0,         15,1,1,0
         14,         15,11, 0,         15,1,1,0
