A, B, ALU OP, Shift Amount, Result, isNE, isLT, OVF
          0,          0, 4, 0,          0,0,0,0
          1,          0, 4, 1,          2,1,0,0
          2,          0, 4, 2,          8,1,0,0
          3,          0, 4, 3,         24,1,0,0
          4,          0, 4, 4,         64,1,0,0
          5,          0, 4, 5,        160,1,0,0
          6,          0, 4, 6,        384,1,0,0
          7,          0, 4, 7,        896,1,0,0
          8,          0, 4, 8,       2048,1,0,0
          9,          0, 4, 9,       4608,1,0,0
         10,          0, 4,10,      10240,1,0,0
         11,          0, 4,11,      22528,1,0,0
         12,          0, 4,12,      49152,1,0,0
         13,          0, 4,13,     106496,1,0,0
         14,          0, 4,14,     229376,1,0,0
